code,party,turnout
TX23,R,102903
TX23,D,102214
TX24,R,132992
TX24,D,124580
TX25,R,162288
TX25,D,135288
TX26,R,185268
TX26,D,121584
TX27,R,124958
TX27,D,75761
TX28,D,117178
TX28,L,21647
TX29,D,87679
TX29,R,27945
TX30,D,166102
TX30,L,16318
TX31,R,143330
TX31,D,134675
TX32,D,142885
TX32,R,125600
TX33,D,90311
TX33,R,26007
TX34,D,85647
TX34,R,57157
TX35,D,137325
TX35,R,50276
TX36,R,160592
TX36,D,60486
UT1,R,124377
UT1,D,48372
UT2,R,122540
UT2,D,79510
UT3,R,108476
UT3,D,46477
UT4,D,93994
UT4,R,89280
VTAL,D,188146
VTAL,R,70490
VA1,R,179296
VA1,D,142508
VA2,D,139328
VA2,R,133319
VA3,,
VA4,D,184250
VA4,R,105446
VA5,R,165107
VA5,D,144493
VA6,R,168334
VA6,D,112438
VA7,D,170737
VA7,R,165962
VA8,D,246831
VA8,R,76492
VA9,R,160888
VA9,D,85658
VA10,D,202557
VA10,R,157561
VA11,D,213587
VA11,R,81375
WA1,D,129442
WA1,R,91454
WA2,D,135831
WA2,L,51709
WA3,R,115616
WA3,D,105654
WA4,R,85149
WA4,D,45040
WA5,R,103238
WA5,D,81295
WA6,D,124292
WA6,R,73561
WA7,D,224351
WA7,R,44732
WA8,D,104520
WA8,R,92900
WA9,D,111449
WA9,D,47502
WA10,D,89137
WA10,R,57272
WV1,R,128725
WV1,D,70402
WV2,R,109018
WV2,D,86678
WV3,R,98048
WV3,D,75776
WI1,R,177490
WI1,D,137507
WI2,,
WI3,D,187615
WI3,R,126897
WI4,D,208127
WI4,R,60240
WI5,R,223989
WI5,D,136995
WI6,R,180314
WI6,D,144530
WI7,R,193126
WI7,D,123548
WI8,R,209400
WI8,D,119263
WYAL,R,127882
WYAL,D,59929
